Year,Country1,Country2,GroupStage,Round1,Round2,Round3,Round4,Rounds,Score1,Score2,Day,Month
1938,Cuba,Romania,0,1,0,0,0,4,2,1,5,6
1938,Italy,France,0,0,1,0,0,4,3,1,12,6
1938,Brazil,Czechoslovakia,0,0,1,0,0,4,2,1,12,6
1938,Hungary,Switzerland,0,0,1,0,0,4,2,0,12,6
1938,Sweden,Cuba,0,0,1,0,0,4,8,0,12,6
1938,Italy,Brazil,0,0,0,1,0,4,2,1,16,6
1938,Hungary,Sweden,0,0,0,1,0,4,5,1,16,6
1938,Italy,Hungary,0,0,0,0,1,4,4,2,19,6
1950,Brazil,Mexico,1,0,0,0,0,1,4,0,24,6
1950,Yugoslavia,Switzerland,1,0,0,0,0,1,3,0,25,6
1950,Brazil,Switzerland,1,0,0,0,0,1,2,2,28,6
1950,Yugoslavia,Mexico,1,0,0,0,0,1,4,1,28,6
1950,Brazil,Yugoslavia,1,0,0,0,0,1,2,0,1,7
1950,Switzerland,Mexico,1,0,0,0,0,1,2,1,2,7
1950,United Kingdom,Chile,1,0,0,0,0,1,2,0,25,6
1950,Spain,USA,1,0,0,0,0,1,3,1,25,6
1950,Spain,Chile,1,0,0,0,0,1,2,0,29,6
1950,USA,United Kingdom,1,0,0,0,0,1,1,0,29,6
1950,Spain,United Kingdom,1,0,0,0,0,1,1,0,2,7
1950,Chile,USA,1,0,0,0,0,1,5,2,2,7
1950,Sweden,Italy,1,0,0,0,0,1,3,2,25,6
1950,Sweden,Paraguay,1,0,0,0,0,1,2,2,29,6
1950,Italy,Paraguay,1,0,0,0,0,1,2,0,2,7
1950,Uruguay,Bolivia,1,0,0,0,0,1,8,0,2,7
1950,Uruguay,Spain,0,0,0,0,1,1,2,2,9,7
1950,Brazil,Sweden,0,0,0,0,1,1,7,1,9,7
1950,Brazil,Spain,0,0,0,0,1,1,6,1,13,7
1950,Uruguay,Sweden,0,0,0,0,1,1,3,2,13,7
1950,Sweden,Spain,0,0,0,0,1,1,3,1,16,7
1950,Uruguay,Brazil,0,0,0,0,1,1,2,1,16,7
1954,Brazil,Mexico,1,0,0,0,0,3,5,0,16,6
1954,Yugoslavia,France,1,0,0,0,0,3,1,0,16,6
1954,Brazil,Yugoslavia,1,0,0,0,0,3,1,1,19,6
1954,France,Mexico,1,0,0,0,0,3,3,2,19,6
1954,West Germany,Turkey,1,1,0,0,0,3,4,1,17,6
1954,Hungary,South Korea,1,0,0,0,0,3,9,0,17,6
1954,Hungary,West Germany,1,0,0,0,0,3,8,3,20,6
1954,Turkey,South Korea,1,0,0,0,0,3,7,0,20,6
1954,Uruguay,Czechoslovakia,1,0,0,0,0,3,2,0,16,6
1954,Austria,Scotland,1,0,0,0,0,3,1,0,16,6
1954,Uruguay,Scotland,1,0,0,0,0,3,7,0,19,6
1954,Austria,Czechoslovakia,1,0,0,0,0,3,5,0,19,6
1954,Switzerland,Italy,1,0,0,0,0,3,2,1,17,6
1954,United Kingdom,Belgium,1,0,0,0,0,3,4,4,17,6
1954,Italy,Belgium,1,0,0,0,0,3,4,1,20,6
1954,United Kingdom,Switzerland,1,0,0,0,0,3,2,0,20,6
1954,Switzerland,Italy,1,0,0,0,0,3,4,1,23,6
1954,West Germany,Yugoslavia,0,0,1,0,0,3,2,0,27,6
1954,Austria,Switzerland,0,0,1,0,0,3,7,5,26,6
1954,Hungary,Brazil,0,0,1,0,0,3,4,2,27,6
1954,Uruguay,United Kingdom,0,0,1,0,0,3,4,2,26,6
1954,West Germany,Austria,0,0,0,1,0,3,6,1,30,6
1954,Hungary,Uruguay,0,0,0,1,0,3,4,2,30,6
1954,West Germany,Hungary,0,0,0,0,1,3,3,2,4,7
1954,Austria,Uruguay,0,0,0,0,1,3,3,1,3,7
1958,West Germany,Austria,1,0,0,0,0,3,3,1,8,6
1958,Northern Ireland,Czechoslovakia,1,0,0,0,0,3,1,0,8,6
1958,West Germany,Czechoslovakia,1,0,0,0,0,3,2,2,11,6
1958,Argentina,Northern Ireland,1,0,0,0,0,3,3,1,11,6
1958,West Germany,Northern Ireland,1,0,0,0,0,3,2,2,15,6
1958,Czechoslovakia,Argentina,1,0,0,0,0,3,6,1,15,6
1958,Northern Ireland,Czechoslovakia,1,0,0,0,0,3,2,1,17,6
1958,France,Paraguay,1,0,0,0,0,3,7,3,8,6
1958,Yugoslavia,Scotland,1,0,0,0,0,3,1,1,8,6
1958,Yugoslavia,France,1,0,0,0,0,3,3,2,11,6
1958,Paraguay,Scotland,1,0,0,0,0,3,3,2,11,6
1958,France,Scotland,1,0,0,0,0,3,2,1,15,6
1958,Paraguay,Yugoslavia,1,0,0,0,0,3,3,3,15,6
1958,Sweden,Mexico,1,0,0,0,0,3,3,0,8,6
1958,Hungary,Wales,1,0,0,0,0,3,1,1,8,6
1958,Mexico,Wales,1,0,0,0,0,3,1,1,11,6
1958,Sweden,Hungary,1,0,0,0,0,3,2,1,12,6
1958,Sweden,Wales,1,0,0,0,0,3,0,0,15,6
1958,Hungary,Mexico,1,0,0,0,0,3,4,0,15,6
1958,Wales,Hungary,1,0,0,0,0,3,2,1,17,6
1958,Brazil,Austria,1,0,0,0,0,3,3,0,8,6
1958,Soviet Union,United Kingdom,1,1,0,0,0,3,1,0,8,6
1958,Brazil,United Kingdom,1,0,0,0,0,3,0,0,11,6
1958,Soviet Union,Austria,1,0,0,0,0,3,2,0,11,6
1958,United Kingdom,Austria,1,0,0,0,0,3,2,2,15,6
1958,Brazil,Soviet Union,1,0,0,0,0,3,2,0,15,6
1958,Brazil,Wales,0,0,1,0,0,3,1,0,19,6
1958,France,Northern Ireland,0,0,1,0,0,3,4,0,19,6
1958,Sweden,Soviet Union,0,0,1,0,0,3,2,0,19,6
1958,West Germany,Yugoslavia,0,0,1,0,0,3,1,0,19,6
1958,Brazil,France,0,0,0,1,0,3,5,2,24,6
1958,Sweden,West Germany,0,0,0,1,0,3,3,1,24,6
1958,Brazil,Sweden,0,0,0,0,1,3,5,2,29,6
1958,France,West Germany,0,0,0,0,1,3,6,3,28,6
1962,Uruguay,Colombia,1,0,0,0,0,3,2,1,30,5
1962,Soviet Union,Yugoslavia,1,0,0,0,0,3,2,0,31,5
1962,Yugoslavia,Uruguay,1,0,0,0,0,3,3,1,2,6
1962,Soviet Union,Colombia,1,0,0,0,0,3,4,4,3,6
1962,Soviet Union,Uruguay,1,0,0,0,0,3,2,1,6,6
1962,Yugoslavia,Colombia,1,0,0,0,0,3,5,0,7,6
1962,Chile,Switzerland,1,0,0,0,0,3,3,1,30,5
1962,West Germany,Italy,1,0,0,0,0,3,0,0,31,5
1962,Chile,Italy,1,0,0,0,0,3,2,0,2,6
1962,West Germany,Switzerland,1,0,0,0,0,3,2,1,3,6
1962,West Germany,Chile,1,0,0,0,0,3,2,0,6,6
1962,Italy,Switzerland,1,0,0,0,0,3,3,0,7,6
1962,Brazil,Mexico,1,0,0,0,0,3,2,0,30,5
1962,Czechoslovakia,Spain,1,0,0,0,0,3,1,0,31,5
1962,Brazil,Czechoslovakia,1,0,0,0,0,3,0,0,2,6
1962,Spain,Mexico,1,0,0,0,0,3,1,0,3,6
1962,Brazil,Spain,1,0,0,0,0,3,2,1,6,6
1962,Mexico,Czechoslovakia,1,0,0,0,0,3,3,1,7,6
1962,Argentina,Bulgaria,1,0,0,0,0,3,1,0,30,5
1962,Hungary,United Kingdom,1,0,0,0,0,3,2,1,31,5
1962,United Kingdom,Argentina,1,0,0,0,0,3,3,1,2,6
1962,Hungary,Bulgaria,1,0,0,0,0,3,6,1,3,6
1962,Hungary,Argentina,1,0,0,0,0,3,0,0,6,6
1962,United Kingdom,Bulgaria,1,0,0,0,0,3,0,0,7,6
1962,Chile,Soviet Union,0,0,1,0,0,3,2,1,10,6
1962,Brazil,United Kingdom,0,0,1,0,0,3,3,1,10,6
1962,Yugoslavia,West Germany,0,0,1,0,0,3,1,0,10,6
1962,Czechoslovakia,Hungary,0,0,1,0,0,3,1,0,10,6
1962,Brazil,Chile,0,0,0,1,0,3,4,2,13,6
1962,Czechoslovakia,Yugoslavia,0,0,0,1,0,3,3,1,13,6
1962,Brazil,Czechoslovakia,0,0,0,0,1,3,3,1,17,6
1962,Chile,Yugoslavia,0,0,0,0,1,3,1,0,16,6
1966,United Kingdom,Uruguay,1,0,0,0,0,3,0,0,11,7
1966,France,Mexico,1,0,0,0,0,3,1,1,13,7
1966,Uruguay,France,1,0,0,0,0,3,2,1,15,7
1966,United Kingdom,Mexico,1,0,0,0,0,3,2,0,16,7
1966,Mexico,Uruguay,1,0,0,0,0,3,0,0,19,7
1966,United Kingdom,France,1,0,0,0,0,3,2,0,20,7
1966,West Germany,Switzerland,1,0,0,0,0,3,5,0,12,7
1966,Argentina,Spain,1,0,0,0,0,3,2,1,13,7
1966,Spain,Switzerland,1,0,0,0,0,3,2,1,15,7
1966,Argentina,West Germany,1,0,0,0,0,3,0,0,16,7
1966,Argentina,Switzerland,1,0,0,0,0,3,2,0,19,7
1966,West Germany,Spain,1,0,0,0,0,3,2,1,20,7
1966,Brazil,Bulgaria,1,0,0,0,0,3,2,0,12,7
1966,Portugal,Hungary,1,0,0,0,0,3,3,1,13,7
1966,Hungary,Brazil,1,0,0,0,0,3,3,1,15,7
1966,Portugal,Bulgaria,1,0,0,0,0,3,3,0,16,7
1966,Portugal,Brazil,1,0,0,0,0,3,3,1,19,7
1966,Hungary,Bulgaria,1,0,0,0,0,3,3,1,20,7
1966,Soviet Union,North Korea,1,0,0,0,0,3,3,0,12,7
1966,Italy,Chile,1,0,0,0,0,3,2,0,13,7
1966,Chile,North Korea,1,0,0,0,0,3,1,1,15,7
1966,Soviet Union,Italy,1,0,0,0,0,3,1,0,16,7
1966,North Korea,Italy,1,0,0,0,0,3,1,0,19,7
1966,Soviet Union,Chile,1,0,0,0,0,3,2,1,20,7
1966,United Kingdom,Argentina,0,0,1,0,0,3,1,0,23,7
1966,Portugal,North Korea,0,0,1,0,0,3,5,0,23,7
1966,West Germany,Uruguay,0,0,1,0,0,3,4,0,23,7
1966,Soviet Union,Hungary,0,0,1,0,0,3,2,1,23,7
1966,United Kingdom,Portugal,0,0,1,0,0,3,2,1,26,7
1966,West Germany,Soviet Union,0,0,1,0,0,3,2,1,25,7
1966,United Kingdom,West Germany,0,0,1,0,0,3,4,2,30,7
1966,Portugal,Soviet Union,0,0,1,0,0,3,2,1,28,7
1970,Mexico,Soviet Union,1,0,0,0,0,3,0,0,31,5
1970,Belgium,El Salvador,1,0,0,0,0,3,3,0,3,6
1970,Soviet Union,Belgium,1,0,0,0,0,3,4,1,6,6
1970,Mexico,El Salvador,1,0,0,0,0,3,4,0,7,6
1970,Soviet Union,El Salvador,1,0,0,0,0,3,2,0,10,6
1970,Mexico,Belgium,1,0,0,0,0,3,1,0,11,6
1970,Uruguay,Israel,1,0,0,0,0,3,2,0,2,6
1970,Italy,Sweden,1,0,0,0,0,3,1,0,3,6
1970,Uruguay,Italy,1,0,0,0,0,3,0,0,6,6
1970,Sweden,Israel,1,0,0,0,0,3,1,1,7,6
1970,Sweden,Uruguay,1,0,0,0,0,3,1,0,10,6
1970,Israel,Italy,1,0,0,0,0,3,0,0,11,6
1970,United Kingdom,Romania,1,0,0,0,0,3,1,0,2,6
1970,Brazil,Czechoslovakia,1,0,0,0,0,3,4,1,3,6
1970,Romania,Czechoslovakia,1,0,0,0,0,3,2,1,6,6
1970,Brazil,United Kingdom,1,0,0,0,0,3,1,0,7,6
1970,Brazil,Romania,1,0,0,0,0,3,3,2,10,6
1970,United Kingdom,Czechoslovakia,1,0,0,0,0,3,1,0,11,6
1970,Peru,Bulgaria,1,0,0,0,0,3,3,2,2,6
1970,West Germany,Morocco,1,0,0,0,0,3,2,1,3,6
1970,Peru,Morocco,1,0,0,0,0,3,3,0,6,6
1970,West Germany,Bulgaria,1,0,0,0,0,3,5,2,7,6
1970,West Germany,Peru,1,0,0,0,0,3,3,1,10,6
1970,Bulgaria,Morocco,1,0,0,0,0,3,1,1,11,6
1970,Uruguay,Soviet Union,0,0,1,0,0,3,1,0,14,6
1970,Brazil,Peru,0,0,1,0,0,3,4,2,14,6
1970,Italy,Mexico,0,0,1,0,0,3,4,1,14,6
1970,West Germany,United Kingdom,0,0,1,0,0,3,3,2,14,6
1970,Brazil,Uruguay,0,0,0,1,0,3,3,1,17,6
1970,Italy,West Germany,0,0,0,1,0,3,4,3,17,6
1970,Brazil,Italy,0,0,0,0,1,3,4,1,21,6
1970,West Germany,Uruguay,0,0,0,0,1,3,1,0,20,6
