Year,Country1,Country2,Played,GroupStage,Round1,Round2,Round3,Round4,Rounds,Score1,Score2,Day,Month,Disputes,PreviousDisputes
1930,France,Mexico,1,1,0,0,0,0,2,4,1,13,7,0,0
1930,Argentina,France,1,1,0,0,0,0,2,1,0,15,7,0,1
1930,Chile,Mexico,1,1,0,0,0,0,2,3,0,16,7,0,0
1930,Chile,France,1,1,0,0,0,0,2,1,0,19,7,0,0
1930,Argentina,Mexico,1,1,0,0,0,0,2,6,3,19,7,0,1
1930,Argentina,Chile,1,1,0,0,0,0,2,3,1,22,7,0,1
1930,Yugoslavia,Brazil,1,1,0,0,0,0,2,2,1,14,7,0,1
1930,Yugoslavia,Bolivia,1,1,0,0,0,0,2,4,0,17,7,0,1
1930,Brazil,Bolivia,1,1,0,0,0,0,2,4,0,20,7,0,3
1930,Romania,Peru,1,1,0,0,0,0,2,3,1,14,7,0,0
1930,Uruguay,Peru,1,1,0,0,0,0,2,1,0,18,7,0,0
1930,Uruguay,Romania,1,1,0,0,0,0,2,4,0,21,7,0,0
1930,USA,Belgium,1,1,0,0,0,0,2,3,0,13,7,1,0
1930,USA,Paraguay,1,1,0,0,0,0,2,3,0,17,7,1,0
1930,Paraguay,Belgium,1,1,0,0,0,0,2,1,0,20,7,1,5
1930,Argentina,USA,1,0,0,0,1,0,2,6,1,26,7,0,1
1930,Uruguay,Yugoslavia,1,0,0,0,1,0,2,6,1,27,7,0,0
1930,Uruguay,Argentina,1,0,0,0,0,1,2,4,2,30,7,0,0
1934,Italy,USA,1,0,1,0,0,0,4,7,1,27,5,3,0
1934,Spain,Brazil,1,0,1,0,0,0,4,3,1,27,5,0,0
1934,Austria,France,1,0,1,0,0,0,4,3,2,27,5,0,0
1934,Hungary,Egypt,1,0,1,0,0,0,4,4,2,27,5,0,0
1934,Czechoslovakia,Romania,1,0,1,0,0,0,4,2,1,27,5,1,0
1934,Switzerland,Netherlands,1,0,1,0,0,0,4,3,2,27,5,0,0
1934,Germany,Belgium,1,0,1,0,0,0,4,5,2,27,5,2,0
1934,Sweden,Argentina,1,0,1,0,0,0,4,3,2,27,5,0,0
1934,Italy,Spain,1,0,0,1,0,0,4,1,0,31,5,3,0
1934,Austria,Hungary,1,0,0,1,0,0,4,2,1,31,5,0,0
1934,Czechoslovakia,Switzerland,1,0,0,1,0,0,4,3,2,31,5,1,0
1934,Germany,Sweden,1,0,0,1,0,0,4,2,1,31,5,2,0
1934,Italy,Austria,1,0,0,0,1,0,4,1,0,3,6,3,0
1934,Czechoslovakia,Germany,1,0,0,0,1,0,4,3,1,3,6,1,0
1934,Italy,Czechoslovakia,1,0,0,0,0,1,4,2,1,10,6,3,0
1938,Italy,Norway,1,0,1,0,0,0,4,2,1,5,6,6,5
1938,France,Belgium,1,0,1,0,0,0,4,3,1,5,6,4,3
1938,Brazil,Poland,1,0,1,0,0,0,4,6,5,5,6,0,0
1938,Czechoslovakia,Netherlands,1,0,1,0,0,0,4,3,0,5,6,3,2
1938,Hungary,Dutch East Indies,1,0,1,0,0,0,4,6,0,5,6,5,0
1938,Switzerland,Germany,1,0,1,0,0,0,4,4,2,4,6,2,0
1938,Sweden,Austria,1,0,1,0,0,0,4,1,0,5,6,3,0
1938,Cuba,Romania,1,0,1,0,0,0,4,2,1,5,6,0,0
1938,Italy,France,1,0,0,1,0,0,4,3,1,12,6,6,5
1938,Brazil,Czechoslovakia,1,0,0,1,0,0,4,2,1,12,6,0,0
1938,Hungary,Switzerland,1,0,0,1,0,0,4,2,0,12,6,5,0
1938,Sweden,Cuba,1,0,0,1,0,0,4,8,0,12,6,3,0
1938,Italy,Brazil,1,0,0,0,1,0,4,2,1,16,6,6,5
1938,Hungary,Sweden,1,0,0,0,1,0,4,5,1,16,6,5,0
1938,Italy,Hungary,1,0,0,0,0,1,4,4,2,19,6,7,5
1950,Brazil,Mexico,1,1,0,0,0,0,1,4,0,24,6,0,0
1950,Yugoslavia,Switzerland,1,1,0,0,0,0,1,3,0,25,6,0,2
1950,Brazil,Switzerland,1,1,0,0,0,0,1,2,2,28,6,0,0
1950,Yugoslavia,Mexico,1,1,0,0,0,0,1,4,1,28,6,0,2
1950,Brazil,Yugoslavia,1,1,0,0,0,0,1,2,0,1,7,0,0
1950,Switzerland,Mexico,1,1,0,0,0,0,1,2,1,2,7,0,0
1950,United Kingdom,Chile,1,1,0,0,0,0,1,2,0,25,6,7,5
1950,Spain,USA,1,1,0,0,0,0,1,3,1,25,6,0,0
1950,Spain,Chile,1,1,0,0,0,0,1,2,0,29,6,0,0
1950,USA,United Kingdom,1,1,0,0,0,0,1,1,0,29,6,1,2
1950,Spain,United Kingdom,1,1,0,0,0,0,1,1,0,2,7,0,0
1950,Chile,USA,1,1,0,0,0,0,1,5,2,2,7,1,0
1950,Sweden,Italy,1,1,0,0,0,0,1,3,2,25,6,1,0
1950,Sweden,Paraguay,1,1,0,0,0,0,1,2,2,29,6,1,0
1950,Italy,Paraguay,1,1,0,0,0,0,1,2,0,2,7,1,0
1950,Uruguay,Bolivia,1,1,0,0,0,0,1,8,0,2,7,0,0
1950,Uruguay,Spain,1,0,0,0,0,1,1,2,2,9,7,0,0
1950,Brazil,Sweden,1,0,0,0,0,1,1,7,1,9,7,0,0
1950,Brazil,Spain,1,0,0,0,0,1,1,6,1,13,7,0,0
1950,Uruguay,Sweden,1,0,0,0,0,1,1,3,2,13,7,0,0
1950,Sweden,Spain,1,0,0,0,0,1,1,3,1,16,7,1,0
1950,Uruguay,Brazil,1,0,0,0,0,1,1,2,1,16,7,0,0
1954,Brazil,Mexico,1,1,0,0,0,0,3,5,0,16,6,0,0
1954,Yugoslavia,France,1,1,0,0,0,0,3,1,0,16,6,1,4
1954,Brazil,Yugoslavia,1,1,0,0,0,0,3,1,1,19,6,0,0
1954,France,Mexico,1,1,0,0,0,0,3,3,2,19,6,0,0
1954,West Germany,Turkey,1,1,1,0,0,0,3,4,1,17,6,0,0
1954,Hungary,South Korea,1,1,0,0,0,0,3,9,0,17,6,0,1
1954,West Germany,Hungary,1,1,0,0,0,0,3,3,2,20,6,0,0
1954,Turkey,South Korea,1,1,0,0,0,0,3,7,0,20,6,2,0
1954,Uruguay,Czechoslovakia,1,1,0,0,0,0,3,2,0,16,6,0,0
1954,Austria,Scotland,1,1,0,0,0,0,3,1,0,16,6,0,0
1954,Uruguay,Scotland,1,1,0,0,0,0,3,7,0,19,6,0,0
1954,Austria,Czechoslovakia,1,1,0,0,0,0,3,5,0,19,6,0,0
1954,Switzerland,Italy,1,1,0,0,0,0,3,2,1,17,6,1,0
1954,United Kingdom,Belgium,1,1,0,0,0,0,3,4,4,17,6,5,5
1954,Italy,Belgium,1,1,0,0,0,0,3,4,1,20,6,2,2
1954,United Kingdom,Switzerland,1,1,0,0,0,0,3,2,0,20,6,5,5
1954,West Germany,Yugoslavia,1,0,0,1,0,0,3,2,0,27,6,0,0
1954,Austria,Switzerland,1,0,0,1,0,0,3,7,5,26,6,0,0
1954,Hungary,Brazil,1,0,0,1,0,0,3,4,2,27,6,0,1
1954,Uruguay,United Kingdom,1,0,0,1,0,0,3,4,2,26,6,0,0
1954,West Germany,Austria,1,0,0,0,1,0,3,6,1,30,6,0,0
1954,Hungary,Uruguay,1,0,0,0,1,0,3,4,2,30,6,0,0
1954,Austria,Uruguay,1,0,0,0,0,1,3,3,1,3,7,0,0
1958,West Germany,Austria,1,1,0,0,0,0,3,3,1,8,6,0,1
1958,Northern Ireland,Czechoslovakia,1,1,0,0,0,0,3,1,0,8,6,0,0
1958,West Germany,Czechoslovakia,1,1,0,0,0,0,3,2,2,11,6,0,1
1958,Argentina,Northern Ireland,1,1,0,0,0,0,3,3,1,11,6,4,1
1958,West Germany,Northern Ireland,1,1,0,0,0,0,3,2,2,15,6,0,1
1958,Czechoslovakia,Argentina,1,1,0,0,0,0,3,6,1,15,6,0,1
1958,France,Paraguay,1,1,0,0,0,0,3,7,3,8,6,3,3
1958,Yugoslavia,Scotland,1,1,0,0,0,0,3,1,1,8,6,0,0
1958,Yugoslavia,France,1,1,0,0,0,0,3,3,2,11,6,0,0
1958,Paraguay,Scotland,1,1,0,0,0,0,3,3,2,11,6,1,0
1958,France,Scotland,1,1,0,0,0,0,3,2,1,15,6,3,3
1958,Paraguay,Yugoslavia,1,1,0,0,0,0,3,3,3,15,6,1,0
1958,Sweden,Mexico,1,1,0,0,0,0,3,3,0,8,6,0,0
1958,Hungary,Wales,1,1,0,0,0,0,3,1,1,8,6,0,1
