Year,Country1,Country2,GroupStage,Round1,Round2,Round3,Round4,Rounds,Score1,Score2,Day,Month,StartDay,StartMonth,EndDay,EndMonth,DisputesAfter,DisputesBefore
1934,Germany,Sweden,0,0,1,0,0,4,2,1,31,5,27,5,10,6,0,0
1934,Italy,Austria,0,0,0,1,0,4,1,0,3,6,27,5,10,6,0,0
1934,Czechoslovakia,Germany,0,0,0,1,0,4,3,1,3,6,27,5,10,6,1,0
1934,Italy,Czechoslovakia,0,0,0,0,1,4,2,1,10,6,27,5,10,6,0,0
1938,Italy,Norway,0,1,0,0,0,4,2,1,5,6,4,6,19,6,1,0
1938,France,Belgium,0,1,0,0,0,4,3,1,5,6,4,6,19,6,0,0
1938,Brazil,Poland,0,1,0,0,0,4,6,5,5,6,4,6,19,6,0,0
1938,Czechoslovakia,Netherlands,0,1,0,0,0,4,3,0,5,6,4,6,19,6,0,0
1938,Hungary,Dutch East Indies,0,1,0,0,0,4,6,0,5,6,4,6,19,6,0,0
1938,Switzerland,Germany,0,1,0,0,0,4,4,2,4,6,4,6,19,6,2,0
1938,Sweden,Austria,0,1,0,0,0,4,1,0,5,6,4,6,19,6,0,0
1938,Cuba,Romania,0,1,0,0,0,4,2,1,5,6,4,6,19,6,0,0
1938,Italy,France,0,0,1,0,0,4,3,1,12,6,4,6,19,6,3,1
1938,Brazil,Czechoslovakia,0,0,1,0,0,4,2,1,12,6,4,6,19,6,0,0
1938,Hungary,Switzerland,0,0,1,0,0,4,2,0,12,6,4,6,19,6,0,0
1938,Sweden,Cuba,0,0,1,0,0,4,8,0,12,6,4,6,19,6,0,0
1938,Italy,Brazil,0,0,0,1,0,4,2,1,16,6,4,6,19,6,0,0
1938,Hungary,Sweden,0,0,0,1,0,4,5,1,16,6,4,6,19,6,0,0
1938,Italy,Hungary,0,0,0,0,1,4,4,2,19,6,4,6,19,6,0,0
1950,Brazil,Mexico,1,0,0,0,0,1,4,0,24,6,24,6,16,7,0,0
1950,Yugoslavia,Switzerland,1,0,0,0,0,1,3,0,25,6,24,6,16,7,0,0
1950,Brazil,Switzerland,1,0,0,0,0,1,2,2,28,6,24,6,16,7,0,0
1950,Yugoslavia,Mexico,1,0,0,0,0,1,4,1,28,6,24,6,16,7,0,0
1950,Brazil,Yugoslavia,1,0,0,0,0,1,2,0,1,7,24,6,16,7,0,0
1950,Switzerland,Mexico,1,0,0,0,0,1,2,1,2,7,24,6,16,7,0,0
1950,United Kingdom,Chile,1,0,0,0,0,1,2,0,25,6,24,6,16,7,0,0
1950,Spain,USA,1,0,0,0,0,1,3,1,25,6,24,6,16,7,0,0
1950,Spain,Chile,1,0,0,0,0,1,2,0,29,6,24,6,16,7,0,0
1950,USA,United Kingdom,1,0,0,0,0,1,1,0,29,6,24,6,16,7,0,0
1950,Spain,United Kingdom,1,0,0,0,0,1,1,0,2,7,24,6,16,7,0,0
1950,Chile,USA,1,0,0,0,0,1,5,2,2,7,24,6,16,7,0,0
1950,Sweden,Italy,1,0,0,0,0,1,3,2,25,6,24,6,16,7,0,0
1950,Sweden,Paraguay,1,0,0,0,0,1,2,2,29,6,24,6,16,7,0,0
1950,Italy,Paraguay,1,0,0,0,0,1,2,0,2,7,24,6,16,7,0,0
1950,Uruguay,Bolivia,1,0,0,0,0,1,8,0,2,7,24,6,16,7,0,0
1950,Uruguay,Spain,0,0,0,0,1,1,2,2,9,7,24,6,16,7,0,0
1950,Brazil,Sweden,0,0,0,0,1,1,7,1,9,7,24,6,16,7,0,0
1950,Brazil,Spain,0,0,0,0,1,1,6,1,13,7,24,6,16,7,0,0
1950,Uruguay,Sweden,0,0,0,0,1,1,3,2,13,7,24,6,16,7,0,0
1950,Sweden,Spain,0,0,0,0,1,1,3,1,16,7,24,6,16,7,0,0
1950,Uruguay,Brazil,0,0,0,0,1,1,2,1,16,7,24,6,16,7,0,0
1954,Brazil,Mexico,1,0,0,0,0,3,5,0,16,6,16,6,4,7,0,0
1954,Yugoslavia,France,1,0,0,0,0,3,1,0,16,6,16,6,4,7,0,0
1954,Brazil,Yugoslavia,1,0,0,0,0,3,1,1,19,6,16,6,4,7,0,0
1954,France,Mexico,1,0,0,0,0,3,3,2,19,6,16,6,4,7,0,0
1954,West Germany,Turkey,1,1,0,0,0,3,4,1,17,6,16,6,4,7,0,0
1954,Hungary,South Korea,1,0,0,0,0,3,9,0,17,6,16,6,4,7,0,0
1954,West Germany,Hungary,1,0,0,0,0,3,3,2,20,6,16,6,4,7,0,0
1954,Turkey,South Korea,1,0,0,0,0,3,7,0,20,6,16,6,4,7,0,0
1954,Uruguay,Czechoslovakia,1,0,0,0,0,3,2,0,16,6,16,6,4,7,0,0
1954,Austria,Scotland,1,0,0,0,0,3,1,0,16,6,16,6,4,7,0,0
1954,Uruguay,Scotland,1,0,0,0,0,3,7,0,19,6,16,6,4,7,0,0
1954,Austria,Czechoslovakia,1,0,0,0,0,3,5,0,19,6,16,6,4,7,0,0
1954,Switzerland,Italy,1,0,0,0,0,3,2,1,17,6,16,6,4,7,0,0
1954,United Kingdom,Belgium,1,0,0,0,0,3,4,4,17,6,16,6,4,7,0,0
1954,Italy,Belgium,1,0,0,0,0,3,4,1,20,6,16,6,4,7,0,0
1954,United Kingdom,Switzerland,1,0,0,0,0,3,2,0,20,6,16,6,4,7,0,0
1954,West Germany,Yugoslavia,0,0,1,0,0,3,2,0,27,6,16,6,4,7,0,0
1954,Austria,Switzerland,0,0,1,0,0,3,7,5,26,6,16,6,4,7,0,0
1954,Hungary,Brazil,0,0,1,0,0,3,4,2,27,6,16,6,4,7,0,0
1954,Uruguay,United Kingdom,0,0,1,0,0,3,4,2,26,6,16,6,4,7,0,0
1954,West Germany,Austria,0,0,0,1,0,3,6,1,30,6,16,6,4,7,0,0
1954,Hungary,Uruguay,0,0,0,1,0,3,4,2,30,6,16,6,4,7,0,0
1954,Austria,Uruguay,0,0,0,0,1,3,3,1,3,7,16,6,4,7,0,0
1958,West Germany,Austria,1,0,0,0,0,3,3,1,8,6,8,6,29,6,0,0
1958,Northern Ireland,Czechoslovakia,1,0,0,0,0,3,1,0,8,6,8,6,29,6,0,0
1958,West Germany,Czechoslovakia,1,0,0,0,0,3,2,2,11,6,8,6,29,6,0,0
1958,Argentina,Northern Ireland,1,0,0,0,0,3,3,1,11,6,8,6,29,6,0,0
1958,West Germany,Northern Ireland,1,0,0,0,0,3,2,2,15,6,8,6,29,6,0,0
1958,Czechoslovakia,Argentina,1,0,0,0,0,3,6,1,15,6,8,6,29,6,0,0
1958,France,Paraguay,1,0,0,0,0,3,7,3,8,6,8,6,29,6,0,0
